smiles_id,target_chembl_id,uniprot,mean_score,rank
NPC20791,CHEMBL6135,B4URF0,1.0000,1
NPC20791,CHEMBL3242,O43570,1.0000,1
NPC20791,CHEMBL5784,O60285,1.0000,1
NPC20791,CHEMBL6136,O60341,1.0000,1
NPC20791,CHEMBL3108635,O96394,1.0000,1
NPC20791,CHEMBL203,P00533,1.0000,1
NPC20791,CHEMBL204,P00734,1.0000,1
NPC20791,CHEMBL3769,P00760,1.0000,1
NPC20791,CHEMBL2026,P00811,1.0000,1
NPC20791,CHEMBL261,P00915,1.0000,1
NPC20791,CHEMBL205,P00918,1.0000,1
NPC20791,CHEMBL2051,P03468,1.0000,1
NPC20791,CHEMBL4426,P04054,1.0000,1
NPC20791,CHEMBL4693,P04191,1.0000,1
NPC20791,CHEMBL2231,P04798,1.0000,1
NPC20791,CHEMBL2487,P05067,1.0000,1
NPC20791,CHEMBL2439,P05164,1.0000,1
NPC20791,CHEMBL308,P06493,1.0000,1
NPC20791,CHEMBL2568,P06737,1.0000,1
NPC20791,CHEMBL2885,P07451,1.0000,1
NPC20791,CHEMBL2622,P07943,1.0000,1
NPC20791,CHEMBL2073,P07947,1.0000,1
NPC20791,CHEMBL1957,P08069,1.0000,1
NPC20791,CHEMBL4302,P08183,1.0000,1
NPC20791,CHEMBL333,P08253,1.0000,1
NPC20791,CHEMBL283,P08254,1.0000,1
NPC20791,CHEMBL3717,P08581,1.0000,1
NPC20791,CHEMBL215,P09917,1.0000,1
NPC20791,CHEMBL5118,P0C6X7,1.0000,1
NPC20791,CHEMBL5189,P10481,1.0000,1
NPC20791,CHEMBL4255,P10584,1.0000,1
NPC20791,CHEMBL3721,P10632,1.0000,1
NPC20791,CHEMBL2147,P11309,1.0000,1
NPC20791,CHEMBL312,P12527,1.0000,1
NPC20791,CHEMBL4358,P12530,1.0000,1
NPC20791,CHEMBL267,P12931,1.0000,1
NPC20791,CHEMBL321,P14780,1.0000,1
NPC20791,CHEMBL5145,P15056,1.0000,1
NPC20791,CHEMBL1900,P15121,1.0000,1
NPC20791,CHEMBL2903,P16050,1.0000,1
NPC20791,CHEMBL3081,P16116,1.0000,1
NPC20791,CHEMBL3687,P18054,1.0000,1
NPC20791,CHEMBL1951,P21397,1.0000,1
NPC20791,CHEMBL3254,P21398,1.0000,1
NPC20791,CHEMBL1075214,P21588,1.0000,1
NPC20791,CHEMBL219,P21917,1.0000,1
NPC20791,CHEMBL3729,P22748,1.0000,1
NPC20791,CHEMBL3025,P23280,1.0000,1
NPC20791,CHEMBL4029,P25024,1.0000,1
NPC20791,CHEMBL318,P25099,1.0000,1
NPC20791,CHEMBL284,P27487,1.0000,1
NPC20791,CHEMBL2506,P27986,1.0000,1
NPC20791,CHEMBL4662,P28074,1.0000,1
NPC20791,CHEMBL1790,P30518,1.0000,1
NPC20791,CHEMBL4895,P30530,1.0000,1
NPC20791,CHEMBL302,P30543,1.0000,1
NPC20791,CHEMBL4282,P31749,1.0000,1
NPC20791,CHEMBL3004,P33527,1.0000,1
NPC20791,CHEMBL4789,P35218,1.0000,1
NPC20791,CHEMBL279,P35968,1.0000,1
NPC20791,CHEMBL1974,P36888,1.0000,1
NPC20791,CHEMBL2789,P37059,1.0000,1
NPC20791,CHEMBL2326,P43166,1.0000,1
NPC20791,CHEMBL280,P45452,1.0000,1
NPC20791,CHEMBL1929,P47989,1.0000,1
NPC20791,CHEMBL262,P49841,1.0000,1
NPC20791,CHEMBL3871,P51635,1.0000,1
NPC20791,CHEMBL2414,P51679,1.0000,1
NPC20791,CHEMBL3835,P51955,1.0000,1
NPC20791,CHEMBL3024,P53350,1.0000,1
NPC20791,CHEMBL2558,P53355,1.0000,1
NPC20791,CHEMBL4822,P56817,1.0000,1
NPC20791,CHEMBL3629,P68400,1.0000,1
NPC20791,CHEMBL2295561,P80025,1.0000,1
NPC20791,CHEMBL3649,P80457,1.0000,1
NPC20791,CHEMBL2424,Q04760,1.0000,1
NPC20791,CHEMBL2695,Q05397,1.0000,1
NPC20791,CHEMBL4121,Q13554,1.0000,1
NPC20791,CHEMBL4105924,Q14576,1.0000,1
NPC20791,CHEMBL1250379,Q15717,1.0000,1
NPC20791,CHEMBL3384,Q16512,1.0000,1
NPC20791,CHEMBL4878,Q16678,1.0000,1
NPC20791,CHEMBL3594,Q16790,1.0000,1
NPC20791,CHEMBL2366488,Q1CTD3,1.0000,1
NPC20791,CHEMBL3471,Q7ZJM1,1.0000,1
NPC20791,CHEMBL4523401,Q8NFU5,1.0000,1
NPC20791,CHEMBL1075270,Q91WR5,1.0000,1
NPC20791,CHEMBL4150,Q965D5,1.0000,1
NPC20791,CHEMBL4513,Q965D6,1.0000,1
NPC20791,CHEMBL4512,Q965D7,1.0000,1
NPC20791,CHEMBL2185,Q96GD4,1.0000,1
NPC20791,CHEMBL2186,Q9D6N1,1.0000,1
NPC20791,CHEMBL4309,Q9HC98,1.0000,1
NPC20791,CHEMBL1250375,Q9NPH5,1.0000,1
NPC20791,CHEMBL4523488,Q9UHH9,1.0000,1
NPC20791,CHEMBL1250411,Q9UL62,1.0000,1
NPC20791,CHEMBL3510,Q9ULX7,1.0000,1
NPC20791,CHEMBL4247,Q9UM73,1.0000,1
NPC20791,CHEMBL5393,Q9UNQ0,1.0000,1
NPC20791,CHEMBL2535,P11166,0.7838,100
NPC20791,CHEMBL3429,P11474,0.7838,100
NPC20791,CHEMBL3181,P14061,0.7838,100
NPC20791,CHEMBL1973,P14679,0.7838,100
NPC20791,CHEMBL2573,P21447,0.7838,100
NPC20791,CHEMBL3201,P35869,0.7838,100
NPC20791,CHEMBL1795168,Q9NZ45,0.7838,100
NPC20791,CHEMBL4523954,A0A024AXB9,0.7568,107
NPC20791,CHEMBL1293226,B2RXH2,0.7568,107
NPC20791,CHEMBL5708,P00530,0.7568,107
NPC20791,CHEMBL2010633,P03126,0.7568,107
NPC20791,CHEMBL1981,P06213,0.7568,107
NPC20791,CHEMBL1293224,P10636,0.7568,107
NPC20791,CHEMBL1806,P11388,0.7568,107
NPC20791,CHEMBL1978,P11511,0.7568,107
NPC20791,CHEMBL220,P22303,0.7568,107
NPC20791,CHEMBL5619,P27695,0.7568,107
NPC20791,CHEMBL6152,P37840,0.7568,107
NPC20791,CHEMBL2599,P43405,0.7568,107
NPC20791,CHEMBL3267,P48736,0.7568,107
NPC20791,CHEMBL2428,Q15746,0.7568,107
NPC20791,CHEMBL3736,Q9BYF1,0.7568,107
NPC20791,CHEMBL1293267,Q9HC97,0.7568,107
NPC20791,CHEMBL1914,P06276,0.7179,123
NPC20791,CHEMBL256,P0DMS8,0.7179,123
NPC20791,CHEMBL3817719,P17599,0.7179,123
NPC20791,CHEMBL2039,P27338,0.7179,123
NPC20791,CHEMBL1914266,P10997,0.6667,127
NPC20791,CHEMBL1075054,P11064,0.6667,127
NPC20791,CHEMBL3396943,P29372,0.6667,127
NPC20791,CHEMBL2396508,Q13332,0.6667,127
NPC20791,CHEMBL5523,Q8WTS6,0.6667,127
NPC20791,CHEMBL6120,Q96S37,0.6667,127
NPC20791,CHEMBL3232699,P07824,0.6585,133
NPC20791,CHEMBL301,P24941,0.6585,133
NPC20791,CHEMBL2508,Q00534,0.6585,133
NPC20791,CHEMBL2362978,P43351,0.6341,136
NPC20791,CHEMBL5983,O60218,0.5952,137
NPC20791,CHEMBL6164,O95271,0.5952,137
NPC20791,CHEMBL3194,P02766,0.5952,137
NPC20791,CHEMBL4586,P08170,0.5952,137
NPC20791,CHEMBL3105,P09874,0.5952,137
NPC20791,CHEMBL1857,P0AEK4,0.5952,137
NPC20791,CHEMBL4276,P13721,0.5952,137
NPC20791,CHEMBL3596075,P15907,0.5952,137
NPC20791,CHEMBL4660,P28907,0.5952,137
NPC20791,CHEMBL2459,P37238,0.5952,137
NPC20791,CHEMBL4393,P39900,0.5952,137
NPC20791,CHEMBL4718,Q9BUB5,0.5952,137
NPC20791,CHEMBL6154,Q9H2K2,0.5952,137
NPC20791,CHEMBL4204,Q9HBH9,0.5952,137
NPC20791,CHEMBL1075164,Q9WUL0,0.5952,137
NPC20791,CHEMBL1801,P00747,0.5745,152
NPC20791,CHEMBL4295629,V5TFZ2,0.5455,153
NPC20791,CHEMBL4361,Q07820,0.5435,154
NPC20791,CHEMBL1795136,P12276,0.5357,155
NPC20791,CHEMBL1916,P18825,0.5263,156
NPC20791,CHEMBL3575,Q05823,0.5263,156
NPC20791,CHEMBL1827,O76074,0.5000,158
NPC20791,CHEMBL3975,P09467,0.5000,158
