smiles_id,target_chembl_id,uniprot,mean_score,rank
NPC100079,CHEMBL4078,O42275,1.0000,1
NPC100079,CHEMBL220,P22303,1.0000,1
NPC100079,CHEMBL6094,P63000,1.0000,1
NPC100079,CHEMBL5763,P81908,1.0000,1
NPC100079,CHEMBL3582,Q02156,1.0000,1
NPC100079,CHEMBL1914,P06276,0.6458,6
NPC100079,CHEMBL5017,O70528,0.4915,7
NPC100079,CHEMBL3999,P0A9A6,0.4915,7
NPC100079,CHEMBL289,P10635,0.4915,7
NPC100079,CHEMBL216,P11229,0.4915,7
NPC100079,CHEMBL1942,P18089,0.4915,7
NPC100079,CHEMBL1916,P18825,0.4915,7
NPC100079,CHEMBL1833,P41595,0.4915,7
NPC100079,CHEMBL240,Q12809,0.4915,7
NPC100079,CHEMBL4849,Q8TDX7,0.4915,7
NPC100079,CHEMBL287,Q99720,0.4915,7
NPC100079,CHEMBL3784,Q09472,0.4754,17
NPC100079,CHEMBL2231,P04798,0.4590,18
NPC100079,CHEMBL5077,Q9N1N9,0.3857,19
NPC100079,CHEMBL4878,Q16678,0.3692,20
NPC100079,CHEMBL1075138,Q9NUW8,0.3676,21
NPC100079,CHEMBL6136,O60341,0.3538,22
NPC100079,CHEMBL3817,Q92934,0.3438,23
NPC100079,CHEMBL4081,P13726,0.3333,24
NPC100079,CHEMBL217,P14416,0.3333,24
NPC100079,CHEMBL2056,P21728,0.3333,24
NPC100079,CHEMBL219,P21917,0.3333,24
NPC100079,CHEMBL1850,P21918,0.3333,24
NPC100079,CHEMBL234,P35462,0.3333,24
NPC100079,CHEMBL319,P43140,0.3333,24
NPC100079,CHEMBL1785,P24530,0.3286,31
NPC100079,CHEMBL252,P25101,0.3286,31
NPC100079,CHEMBL1821,P08173,0.3284,33
NPC100079,CHEMBL3155,P34969,0.3284,33
NPC100079,CHEMBL247,Q72547,0.3284,33
NPC100079,CHEMBL1827,O76074,0.3235,36
NPC100079,CHEMBL1978,P11511,0.3220,37
NPC100079,CHEMBL224,P28223,0.3182,38
NPC100079,CHEMBL225,P28335,0.3182,38
NPC100079,CHEMBL3837,P07711,0.3175,40
NPC100079,CHEMBL4188,Q95PM0,0.3175,40
NPC100079,CHEMBL5422,P07237,0.3088,42
NPC100079,CHEMBL1936,P10721,0.3088,42
NPC100079,CHEMBL4072,P07858,0.3077,44
NPC100079,CHEMBL1163101,O75460,0.3065,45
NPC100079,CHEMBL2652,O00408,0.3043,46
NPC100079,CHEMBL3580487,Q9BQB4,0.3043,46
NPC100079,CHEMBL3061,Q9XSW7,0.3043,46
NPC100079,CHEMBL4566,P26684,0.3026,49
NPC100079,CHEMBL253,P34972,0.2987,50
NPC100079,CHEMBL275,Q07343,0.2985,51
NPC100079,CHEMBL291,Q08493,0.2985,51
NPC100079,CHEMBL288,Q08499,0.2985,51
NPC100079,CHEMBL1075128,Q49PX0,0.2963,54
NPC100079,CHEMBL1781,P11387,0.2951,55
NPC100079,CHEMBL3658,P02550,0.2941,56
NPC100079,CHEMBL5822,P03118,0.2941,56
NPC100079,CHEMBL2051,P03468,0.2941,56
NPC100079,CHEMBL2034,P04150,0.2941,56
NPC100079,CHEMBL340,P08684,0.2941,56
NPC100079,CHEMBL1806,P11388,0.2941,56
NPC100079,CHEMBL3397,P11712,0.2941,56
NPC100079,CHEMBL3622,P33261,0.2941,56
NPC100079,CHEMBL214,P08908,0.2923,64
