smiles_id,smiles
NPC471156,COC(=O)[C@@]12C=CCC[C@@]2(O)O[C@]2(O1)CCC=C[C@@]2(O)C(=O)OC
NPC277458,OC[C@H]1Cc2cc(OC)c(cc2[C@H]([C@@H]1CO)c1ccc(c(c1)OC)O)O
NPC176730,C[C@@H]1[C@H](O[C@@H]([C@@H]1C)c1ccc(cc1)O)c1ccc(cc1)O
NPC470052,COC(/C=C/C[C@@H]([C@@H]1CC[C@]2([C@@]1(C)CC[C@H]1C2=CCC2[C@]1(C)CCC(=O)C2(C)C)C)C)(C)C
NPC170779,C/C=C/c1cc2c(c(c1)OC)O[C@@H]([C@H]2C)c1ccc2c(c1)OCO2
NPC166014,COc1cc2CCN([C@H]3c2c(c1O)c1ccccc1C3)C
NPC285394,O[C@H](c1ccccc1)C[C@@H]1CCC[C@@H](N1C)CC(=O)c1ccccc1
NPC114171,OC[C@H]1Cc2cc(OC)c(c(c2[C@H]([C@@H]1CO)c1cc(OC)c(c(c1)OC)O)OC)O
NPC158471,COc1cc(ccc1OC)[C@H]1O[C@@H]([C@H]([C@H]1C)C)c1ccc2c(c1)OCO2
NPC38569,COC(=O)C[C@]12C[C@H](O[C@@H]1/C=C(/CCC=C(C)C)\C)C=CC2=O
NPC304839,Oc1cc(O)cc(c1)c1oc2c(c1)cc1c(c2)O[C@H](C1)C(O)(C)C
NPC72211,COc1ccc2c(c1)[nH]c1c2cc(c2c1C=C[C@@](O2)(C)CCC=C(C)C)C
NPC75810,CO[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](N(C)C)C)C)C1)C
NPC115207,COc1cc(ccc1O)[C@@H]1OC[C@H]2[C@@H]1CO[C@H]2c1ccc(c(c1)OC)O
NPC38041,OC[C@H]1O[C@@H](Oc2ccc(cc2OC)[C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2ccc(c(c2)OC)O)[C@@H]([C@H]([C@@H]1O)O)O
NPC282291,COc1cc(ccc1O)C[C@H]1C(=O)OC[C@@H]1Cc1ccc2c(c1)OCO2
NPC18074,O=C(O[C@H](C(=O)O)Cc1ccc(c(c1)O)O)/C=C/c1ccc(c(c1)O)O
NPC263261,OC/C=C/c1cc2c(c(c1)OC)O[C@H]([C@@H]2CO)c1cc(OC)c(c(c1)OC)O
NPC3439,OCCCc1ccc(c(c1)OC)O[C@@H]([C@@H](c1cc(OC)c(c(c1)OC)OC)O)C
NPC34103,COc1cc(cc(c1O)OC)[C@@H]1OC[C@@H]2[C@H]1CO[C@H]2c1cc(OC)c(c(c1)OC)O
NPC470096,OCC(OC(C(c1cc(OC)c(c(c1)OC)O)OC)CC)Cc1ccc(c(c1)OC)O
NPC470095,OCC(OC(C(c1ccc(c(c1)OC)O)OC)CC)Cc1cc(OC)c(c(c1)OC)O
NPC273657,COc1cc(ccc1O)C[C@@H]1COC(=O)[C@H]1Cc1cc(OC)c(c(c1)OC)O
NPC164697,CC(=O)C1=C(O)C=C2[C@](C1=O)(C)c1c(O)c(C)c(c(c1O2)C(=O)C)O
NPC210354,COc1cc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc3c(c2)OCO3)cc(c1OC)OC
NPC474006,CN([C@H]([C@H]1[C@@H](O)C[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC=C(C2=O)N1C[C@H](C1=O)C(C)C)C)C
NPC474001,CN([C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC=C(C2=O)N1C[C@H](C1=O)C(C)C)C)C
NPC475427,CC(=O)O[C@H]1[C@H]([C@H](O)C[C@]2([C@H]1CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](N(C)C)C)C)C)N1C(=O)c2c(C1=O)cccc2
NPC473922,CC(=O)O[C@H]1C(=CC[C@]2([C@H]1CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](N(C)C)C)C)C)N=C(c1ccccc1)O
NPC266197,COc1cc(C[C@H]([C@H](Cc2ccc(c(c2)OC)O)C)C)cc(c1O[C@@H]([C@H](c1ccc(c(c1)OC)O)O)C)OC
NPC291101,COc1cc(C[C@H]([C@H](Cc2ccc(c(c2)OC)O)C)C)cc(c1O[C@H]([C@H](c1ccc(c(c1)OC)O)O)C)OC
NPC28326,C=CCc1cc(OC)c(c(c1)OC)O[C@@H](C(=O)c1cc(OC)c(c(c1)OC)OC)C
NPC244112,COc1cc2c(cc1OC)c1CN3CCC[C@H]3Cc1c1c2c(OC)c(OC)cc1
NPC473451,OC[C@H]1[C@H](OC[C@@H]1[C@@H](c1ccc(c(c1)O)O)O)c1ccc(c(c1)O)O
NPC308976,O=C1O[C@@H]([C@@H]2[C@H]1[C@H](OC2)c1ccc(c(c1)O)O)c1ccc(c(c1)O)O
NPC307042,C=CCc1cc(OC)c(c(c1)OC)O[C@@H]([C@@H](c1cc(OC)c(c(c1)OC)OC)OC(=O)C)C
NPC281780,COc1cc(ccc1O)C[C@H]1CO[C@@H]([C@H]1COC(=O)CC(C)C)c1ccc(c(c1)OC)O
NPC252402,COc1cc(cc(c1O)OC)[C@H]1OC[C@@H]([C@@H]1COC(=O)/C=C/c1ccc(c(c1)OC)O)Cc1cc(OC)c(c(c1)OC)O
NPC102934,COc1cc(cc(c1O)OC)[C@H]1OC[C@@H]([C@@H]1COC(=O)/C=C\c1ccc(c(c1)OC)O)Cc1cc(OC)c(c(c1)OC)O
NPC225665,OC(=O)/C=C(\C=C\[C@@]1(O)C(=CC(=O)CC1(C)C)C)/C
NPC279118,C[C@@H](CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)CCC(=O)O)C)CCC[C@@H](CCCC(C)C)C
NPC181255,CC(=CCC[C@]([C@H]1CCC(=CC1)C)(O)C)C
NPC153007,CN([C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC=C(C2=O)N=C(c1ccccc1)O)C)C
NPC283343,C/C=C(\C(=O)O[C@H]1[C@H](O)[C@]2(CO)[C@H](O)C[C@@]3(C(=CC[C@H]4[C@@]3(C)CC[C@@H]3[C@]4(C)CC[C@@H](C3(C)C)O)[C@@H]2CC1(C)C)C)/C
NPC205797,CCCc1cc(=O)oc2c1c1OC(C)(C)C=Cc1c1c2[C@@H](O)[C@@H]([C@H](O1)C)C
NPC241165,CCCc1cc(=O)oc2c1c1OC(C)(C)C=Cc1c1c2[C@H](O)[C@@H]([C@H](O1)C)C
NPC142547,COc1cc(ccc1O)[C@H]1O[C@@H]([C@H]([C@H]1C)C)c1ccc2c(c1)OCO2
NPC32626,O=C(O[C@H]([C@@H](C(=O)O)OC(=O)/C=C/c1ccc(c(c1)O)O)C(=O)O)/C=C/c1ccc(c(c1)O)O
NPC471909,O=C(C(C)C)O[C@H]1c2c(ccc3c2oc(=O)cc3)OC([C@H]1OC(=O)C(C)C)(C)C
NPC153818,CO[C@@H]1c2c(ccc3c2oc(=O)cc3)OC([C@@H]1O)(C)C
NPC150026,C/C=C/c1ccc2c(c1)[C@@H](C)[C@@H](O2)c1ccc(cc1)O
NPC6597,CC(=CCC[C@@H](c1ccc(cc1O)C)C)C
NPC10737,OC/C=C/c1cc2c(c(c1)OC)O[C@@H]([C@H]2CO)c1ccc(c(c1)OC)O
NPC261619,Oc1cc2O[C@@H](c3ccc(c(c3)O)O)[C@H](Cc2c(c1)O)O
NPC9743,Oc1cc2O[C@@H](c3ccc(c(c3)O)O)[C@H](C(=O)c2c(c1)O)O
NPC210674,C=CCc1cc(OC)c(c(c1)OC)O[C@@H]([C@H](c1ccc(c(c1)OC)OC)OC(=O)C)C
NPC34902,COc1cc(ccc1OC)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc(c(c1)OC)OC
NPC129570,COc1cc(ccc1O)[C@H]1O[C@@H]([C@H]([C@@H]1C)C)c1ccc(c(c1)OC)O
NPC91820,O[C@H]([C@@H](c1ccccc1)O)/C=C\1/C=CC(=O)O1
NPC210531,O=C1C[C@@H]2[C@H](O1)[C@H]([C@H](O2)[C@@H](c1ccccc1)O)O
NPC170170,Oc1ccc(cc1)C[C@H]1NCCc2c1cc(O)c(c2)O
NPC272619,OC[C@H]1Cc2cc(OC)c(cc2[C@H]([C@@H]1CO[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)c1ccc(c(c1)OC)O)O
NPC227002,COc1cc(ccc1O)[C@@H]1[C@@H](C)[C@H](C)Cc2c1cc1OCOc1c2
NPC206882,OC[C@H]1[C@H](CO[C@@H]1c1ccc(c(c1)OC)OC)Cc1ccc(c(c1)OC)OC
NPC224543,O=c1ccc2c(o1)c1C[C@@H](O)C(Oc1cc2)(C)C
NPC230124,OC[C@@H]1Cc2cc(OC)c(c(c2[C@@H]([C@H]1CO)c1cc(OC)c(c(c1)OC)O)OC)O
NPC11422,Oc1ccc2c(c1)OC[C@H]1[C@@H]2Oc2c1cc1c(c2)OCO1
NPC82862,COc1cc(ccc1OC)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1cc(OC)c(c(c1)OC)OC
NPC70259,CC(=CCCC1(C)C=Cc2c(O1)ccc1c2[nH]c2c1cc(cc2)C)C
NPC47283,COc1ccc2c(c1)O[C@H]1[C@@H]2COc2c1ccc(c2)O
NPC126409,COc1cc(ccc1O)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1cc(OC)c(c(c1)OC)O
NPC17326,CO[C@@H]1CC(=O)[C@]2(C[C@@H]1O)CC(=O)O[C@@H]2/C=C(/CCC=C(C)C)\C
NPC134454,CO[C@H]1CC(=O)[C@]2(C[C@@H]1O)CC(=O)O[C@@H]2/C=C(/CCC=C(C)C)\C
NPC21302,C/C(=C\[C@H]1OC(=O)C[C@@]21C[C@H](O)[C@@H](CC2=O)O)/CCC=C(C)C
NPC11396,C/C(=C\[C@H]1OC(=O)C[C@@]21C[C@H](O)[C@H](CC2=O)O)/CCC=C(C)C
NPC52923,C/C(=C\[C@H]1OC(=O)C[C@@]21C[C@@H](C=C[C@H]2O)OC(=O)C)/CCC=C(C)C
NPC207641,CO[C@@H]1CC(=O)[C@]2(C[C@@H]1OC(=O)C)CC(=O)O[C@@H]2/C=C(/CCC=C(C)C)\C
NPC233437,CO[C@H]1CC(=O)[C@]2(C[C@@H]1OC(=O)C)CC(=O)O[C@@H]2/C=C(/CCC=C(C)C)\C
NPC275507,C/C(=C\[C@H]1OC(=O)C[C@@]21CC(=O)C=CC2=O)/CCC=C(C)C
NPC214694,C/C(=C\[C@H]1OC(=O)C[C@@]21C[C@H](O)C=CC2=O)/CC[C@H]1OC1(C)C
NPC78008,C/C(=C\[C@H]1OC(=O)C[C@@]21C[C@@H](C=CC2=O)OC(=O)C)/CC[C@H]1OC1(C)C
NPC473455,C/C(=C\[C@H]1OC(=O)C[C@@]21C[C@@H](C=CC2=O)OC(=O)C)/CCC(C(=C)C)O
