smiles_id,smiles
NPC58057,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
NPC309367,CN(C)C(=S)SSC(=S)N(C)C
NPC319046,N[C@@H](CCC(O)=N[C@@H](CSN=O)C(O)=NCC(=O)O)C(=O)O
NPC206819,CC1=C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
NPC326044,C[N+](C)(C)CC=O
NPC304788,O=C1C=CC(=O)C=C1
NPC141739,C=CCc1ccccc1OCC(O)CNC(C)C
NPC19174,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O
NPC478931,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
NPC262768,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
NPC328267,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
NPC256849,Cn1c(=O)c2c(ncn2C)n(C)c1=O
NPC150680,OCC1NCC(O)C(O)C1O
NPC43069,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
NPC307594,CC(=O)CC(C)C
NPC240084,N=c1nc(O)c2ncc(O)nc2[nH]1
NPC296920,COc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
NPC235767,CSCCCCCCCN=C=S
NPC235797,C=CC=O
NPC223468,CC1CCC(C(C)C)C(O)C1
NPC184014,C/C=C/C=C/C=C\CC/C=C/C(O)=NCC(C)(C)O
NPC133600,CCC/C=C1\OC(=O)C2=C1CCC=C2
NPC54016,CC(=O)CBr
NPC82295,c1ccc2[nH]ccc2c1
NPC4370,CC1(C)CCC[C@]2(C)[C@@H](C=O)C(C=O)=CC[C@@H]12
NPC43246,O=c1nc(O)ccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
NPC469330,CC(=N)NCc1cccc(CN)c1
NPC78825,BrC(Br)Br
NPC295412,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
NPC329391,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NPC84562,CC1(C)CCC[C@]2(C)[C@H]3CC(=O)O[C@]3(C)CC[C@@H]12
NPC320823,NC=O
NPC172064,CSCCCN=C=S
NPC245531,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
NPC326651,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
NPC108375,c1ccsc1
NPC475112,CC(C)=CCCC1(C)C=Cc2c(ccc3c2[nH]c2cc(O)c(C)cc23)O1
NPC292299,O=C1CCC(O)=NCCCCCN(O)C(=O)CCC(O)=NCCCCN(O)C(=O)CCC(O)=NCCCCCN1O
NPC152668,C#C[C@@H](O)/C=C/CCCCCC#CC#CCCCC#CCCCC#CCCCCCC#CC(=O)O
NPC75435,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
NPC472895,COC(=O)c1cc(OC)cc(OC)c1C(=O)c1coc2c1OC(C)CC2=O
NPC167400,O=C(O)c1cccnc1
NPC129909,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
NPC51700,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12
NPC275305,CN1C[C@H](CO)C=C2c3cccc4[nH]cc(c34)C[C@H]21
NPC21844,CC(C)CCCCCCCCCCCCCCC(=O)O
NPC135488,[O-][n+]1ccccc1SSc1cccc[n+]1[O-]
NPC142492,C1CCCC1
NPC144939,C=CCN=C=S
NPC159815,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43
NPC269862,OCC1CC=CCC1
NPC472784,C[C@@]12c3ccc4c(c3C(=O)c3occ(c31)[C@@H](O)C[C@@H]2O)CCC4=O
NPC483991,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
NPC75844,Oc1ncc(F)c(O)n1
NPC229721,CCCCCCCCCCCCCCC[C@@H](O)C(O)=N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CC/C=C(\C)CCCCCCCCC
NPC313449,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21
NPC47194,COc1ccc(/C=C/[C@H]2CCC=C[C@@H]2c2ccc(OC)c(OC)c2)cc1OC
NPC99573,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
NPC31828,C=C(CC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)C[C@H](O)[C@@H]1[C@@]3(C)CC[C@H](O)[C@@H](C)[C@@H]3CC[C@@]21O)C(C)C
