smiles_id,smiles
NPC68441,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
NPC73416,COc1ccc2c(c1O)C(=O)c1ccccc1C2=O
NPC287331,CC12CCC(CC1)C(C)(C)O2
NPC245531,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
NPC180534,C=CCCCCCCCCC(=O)O
NPC309367,CN(C)C(=S)SSC(=S)N(C)C
NPC262926,N=c1nc(O)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1
NPC301874,Nc1ccc(N)cc1
NPC44963,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C(CC=C(C)C)=C2O
NPC168829,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1
NPC148523,C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@@H](O)[C@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@H]12
NPC125578,CCCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
NPC207554,O=C1c2ccccc2-n2c1nc1ccccc1c2=O
NPC473718,CC(C)=CCCC1(C)C=Cc2cc(O)cc(C)c2O1
NPC73203,CC(C)C(=O)c1c(O)c([C@H](C2=C(O)C(C)(C)C(=O)C(C)(C)C2=O)C(C)C)c(O)c([C@H](C2=C(O)C(C)(C)C(=O)C(C)(C)C2=O)C(C)C)c1O
NPC178382,C=C1CCC[C@]2(C)Cc3occ(C)c3C[C@@H]12
NPC308976,O=C1O[C@H](c2ccc(O)c(O)c2)[C@H]2CO[C@H](c3ccc(O)c(O)c3)[C@@H]12
NPC274455,CC(C)Cc1ccc(C(C)C(=O)O)cc1
NPC203076,OC(/C=C/c1ccccc1)=NCCc1ccccc1
NPC8704,O=C1c2c(O)cc(O)cc2O[C@]2(c3ccc(O)cc3)Oc3cc(O)c4c(c3[C@@]12O)O[C@H](c1ccc(O)cc1)CC4
NPC165711,C[C@]12CCC[C@@](C)(C(=O)O)[C@@H]1CCC1=CC(=O)CC[C@@H]12
NPC261012,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
NPC134047,COC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)/C=C/c1ccc(O)c2c1[C@H](C(=O)OC)[C@@H](c1ccc(O)c(O)c1)O2
NPC20791,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
NPC36490,C=CCc1ccc(Oc2cc(/C=C/C=O)cc(O)c2O)cc1
NPC87317,COc1cc(C(=O)O[C@@H]2Cc3c(O)cc(O)cc3O[C@@H]2c2cc(O)c(O)c(O)c2)cc(O)c1O
NPC292452,Oc1cc(O)cc(/C=C/c2ccc(O)cc2O)c1
NPC116775,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
NPC42793,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
NPC88923,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
NPC56271,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
NPC148757,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)cc1
NPC190501,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
NPC85233,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC
NPC473391,COc1cccc(/C=C/C(=O)c2c(O)cc(OC)cc2OC)c1
NPC32298,O=c1cc(-c2ccccc2)oc2ccccc12
NPC188814,O=C(CCCCCCCCc1ccccc1)c1c(O)cccc1O
NPC469970,CN[C@H]1CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1
NPC53069,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
NPC290971,COP(=O)(OC)OC=C(Cl)Cl
NPC256849,Cn1c(=O)c2c(ncn2C)n(C)c1=O
NPC189087,CC(C)=CC1Oc2cc(O)ccc2-c2oc3c4c(cc(O)c3c(=O)c21)OC(C)(C)C=C4
